OTUID	A1DNA	A1RNA	A2DNA	A2RNA	A3DNA	A3RNA	A4DNA	A4RNA	A5DNA	A5RNA	C1DNA	C1RNA	C2DNA	C2RNA	C3DNA	C3RNA	C4DNA	C4RNA	C5DNA	C5RNA	I1DNA	I1RNA	I2DNA	I2RNA	I3DNA	I3RNA	I4DNA	I4RNA	I5DNA	I5RNA	J1DNA	J1RNA	J2DNA	J2RNA	J3DNA	J3RNA	J4DNA	J4RNA	J5DNA	J5RNA	Post1DNA	Post1RNA	Post2DNA	Post2RNA	Post3DNA	Post3RNA	Post4DNA	Post4RNA	Post5DNA	Post5RNA	Pre1DNA	Pre1RNA	Pre2DNA	Pre2RNA	Pre3DNA	Pre3RNA	Pre4DNA	Pre4RNA	Pre5DNA	Pre5RNA	S1DNA	S1RNA	S2DNA	S2RNA	S3DNA	S3RNA	S4DNA	S4RNA	S5DNA	S5RNA	Wat1DNA	Wat1RNA	Wat2DNA	Wat2RNA	Wat3DNA	Wat3RNA	Wat4DNA	Wat4RNA	Wat5DNA	Wat5RNA
OTU5	1743	3886	1823	6055	910	4391	1136	5700	1817	3998	404	799	1033	1731	212	581	296	1033	516	870	1962	677	1917	949	2695	2061	1103	3024	1808	2814	457	5095	279	2939	668	11367	1673	7723	6727	6843	131	86	142	36	111	134	118	258	118	175	33	49	18	38	37	25	19	28	33	42	1683	2137	2643	5991	1656	3450	3329	6718	1555	2497	1298	3	885	14	1595	122	913	26	967	16
OTU17	1788	850	1191	492	198	642	779	414	489	311	1246	460	817	661	1666	876	1980	663	2929	768	222	60	784	104	143	213	800	932	549	970	980	1278	320	893	630	920	1034	1364	1154	782	0	3	0	1	0	1	2	0	1	5	0	0	0	2	2	1	1	0	2	0	1024	742	686	371	938	361	628	612	299	239	0	0	2	3	1	0	1	0	0	0
OTU40	424	792	276	1052	107	1418	126	970	303	641	591	1531	330	1265	443	987	314	1197	563	734	472	149	544	196	790	411	356	974	596	945	136	617	90	1108	195	584	315	651	270	881	30	17	27	56	13	20	28	75	35	34	9	16	12	9	9	4	14	9	10	1	540	877	427	1204	345	1046	428	641	264	861	505	0	412	1	420	0	395	1	368	0
OTU28	546	1354	450	1602	166	1703	190	1783	673	1659	786	1689	410	1470	909	1668	642	1376	896	979	1451	568	1452	762	1267	1630	1044	1287	801	1128	231	912	206	1354	378	732	461	1047	980	1038	15	1	21	1	25	2	44	75	15	26	15	8	3	3	6	5	7	2	11	4	600	1075	903	1793	757	1684	753	1198	402	1175	107	2	66	2	98	3	68	0	114	1
OTU4	5358	7088	4621	10456	2043	10247	2684	7652	2970	5823	5426	8695	5017	8391	5702	7118	4792	11337	7793	7451	3699	1841	5843	2151	3961	3812	3089	9066	3132	9907	2196	6384	1132	9921	1960	4039	4336	6380	3008	9665	46	54	45	81	68	77	60	212	46	124	35	45	15	38	35	27	19	32	28	28	12098	7955	5124	8787	3926	7221	5921	6835	2661	4829	861	12	784	30	1691	68	801	5	611	15
OTU48	1711	634	772	103	96	304	273	127	65	224	81	221	483	205	324	227	414	244	477	327	35	5	584	10	4	24	68	22	20	391	6	112	3	12	83	55	11	129	4161	28	0	0	0	0	0	1	1	0	1	4	0	0	0	0	1	0	0	1	0	0	179	429	55	103	539	164	69	233	28	124	2	1	0	0	0	0	0	1	0	0
OTU741	814	1158	655	2118	359	1432	438	1583	843	1506	942	1237	693	1229	867	931	551	1625	1046	974	1178	540	1790	615	1248	1034	1011	1918	1183	1430	462	1145	236	2131	395	730	939	1573	538	1876	3	8	0	1	3	2	0	12	1	2	1	1	0	2	0	0	1	2	4	4	1041	1328	772	1652	622	909	993	1167	459	667	25	0	31	2	38	7	13	2	19	0
OTU1361	1235	2521	828	3955	372	3433	392	4009	793	2478	1682	4617	2429	3998	1086	2933	1322	3820	1495	2157	3699	1560	2900	1836	4378	2920	1890	6107	2052	1963	928	4100	553	6064	789	3877	1436	3816	3985	5391	496	180	504	135	440	156	463	399	329	287	73	92	89	60	110	34	96	89	113	62	1155	1573	2352	2679	1707	2686	1867	2478	1112	1728	220	11	137	9	169	24	150	25	212	18
OTU41	296	483	167	581	80	710	107	480	178	566	221	439	243	538	159	390	209	360	266	377	85	84	189	95	105	161	162	667	137	327	127	778	73	688	206	799	223	699	491	534	91	6	109	54	90	59	122	139	85	112	11	35	25	21	24	12	18	26	28	17	432	291	323	407	357	377	464	622	127	251	1435	6	1549	5	1111	4	1386	6	1164	0
OTU2	7805	16479	4505	24238	2727	24988	3305	24661	5221	28865	10760	22747	12376	20525	6589	16868	6757	20072	9983	12849	25146	9128	19282	10757	30009	18691	11333	52646	13590	18973	19428	33197	10164	51880	11338	37934	14421	34011	40472	38078	1512	4853	1607	7309	1623	5842	1695	16704	1344	11325	483	767	490	563	581	384	393	750	508	473	10439	15163	8963	18938	7364	14012	8726	17859	3615	11743	17941	202	10428	200	13766	265	11592	200	12713	182
OTU877	798	361	271	804	177	1009	156	527	308	316	1102	1467	991	974	886	1336	554	1017	1087	856	2012	543	1193	645	2858	1380	1586	1193	1154	613	346	778	161	1149	76	360	354	430	314	396	6	1	18	1	20	3	12	12	6	3	1	1	2	4	4	6	4	0	2	1	577	492	361	297	309	390	538	589	262	200	1453	1	1903	4	2542	11	1768	5	1469	0
OTU11	1921	3419	1124	1892	346	5004	459	2279	529	3138	637	3709	1788	7380	1469	2790	3535	4359	3297	3854	1124	397	1511	463	1429	1058	839	159	1244	7929	66	427	4	172	50	193	82	233	159	81	109	25	364	32	141	1171	290	299	252	95	389	1289	802	933	274	403	318	780	295	525	3245	5655	465	1880	495	1965	709	1695	297	655	189	395	245	503	212	269	235	389	222	295
OTU1	11989	8503	9752	9127	4955	8810	6039	9093	10566	7393	10125	10662	13878	10034	17930	6024	14309	11216	20190	8970	4344	3520	7975	4491	3777	8192	6643	8056	7302	6231	6676	7077	3035	7615	5247	3326	13171	9356	6108	7647	17	34	9	14	14	18	15	82	15	29	15	11	8	21	11	22	15	8	2	19	9419	4639	13932	6396	10104	7910	16026	9096	7477	4202	242	24	408	20	482	42	181	20	204	13
OTU6	2579	3461	2108	5328	909	5049	1733	5609	2374	3848	311	596	637	670	201	366	211	425	424	552	6989	2529	5907	3323	11446	6166	3365	1766	5382	2683	178	1208	136	1795	129	1300	319	920	964	1470	1086	183	1159	314	1030	219	1060	649	991	400	176	129	194	114	303	60	147	105	168	114	1881	2131	1608	3174	1478	1518	3013	7086	1140	1359	612	17	390	10	544	107	447	29	600	11
OTU108	18	47	11	10	2	28	4	19	37	29	18	24	20	34	25	47	50	29	36	41	8	0	34	7	36	4	12	22	16	13	7	40	14	24	27	84	49	43	159	32	106	5	177	26	114	23	223	153	169	79	66	350	106	187	72	164	85	251	75	221	23	29	52	21	23	30	60	21	20	12	80	75	118	107	95	126	100	139	157	77
OTU20	1210	645	411	886	199	2024	221	419	498	830	615	1551	929	1359	1195	1338	424	1121	1357	1109	29	55	55	58	31	92	122	1096	35	1120	269	994	149	1205	255	645	542	1057	216	686	0	0	1	0	0	1	0	0	1	0	0	1	1	2	2	2	0	0	0	1	1302	977	347	821	540	1048	818	667	367	714	52	0	43	3	238	3	152	1	91	1
OTU98	118	135	12	65	29	193	14	90	68	132	138	145	67	144	63	155	147	122	188	186	37	25	88	29	176	71	66	129	105	22	58	136	26	173	16	197	76	154	333	97	22	1	19	0	25	12	50	385	30	77	20	17	6	20	15	4	29	3	13	5	129	12	44	5	101	7	154	115	21	17	36	0	72	1	17	1	42	0	23	0
OTU14	1142	2781	2749	1812	404	1221	1105	1504	1199	1272	1453	1260	1075	1575	2906	1283	3999	1858	4990	1312	2156	524	4888	718	2648	1696	4188	852	4239	1857	133	1731	66	851	536	594	488	1374	1545	1267	0	4	6	34	2	9	3	38	2	23	7	8	4	2	3	1	1	4	0	2	806	1329	417	1174	779	1186	648	1694	419	776	2	7	0	2	0	9	0	2	1	4
OTU26	621	1829	224	591	169	2104	114	787	260	915	513	1100	508	1484	275	1110	621	965	792	1552	164	158	456	142	473	350	433	1346	422	283	632	1023	232	1496	316	1293	610	1171	2187	572	287	81	1121	365	239	118	604	6801	873	1349	351	112	193	232	193	35	238	547	125	51	506	216	260	134	548	150	591	540	204	68	3095	15	3824	6	2623	7	3056	4	3752	2
OTU12	1280	2503	1441	3576	427	2962	730	2949	1193	3094	1338	3108	1308	3180	1665	2198	1280	2649	2002	1763	2263	650	2122	869	2988	1833	1398	2795	2541	3133	839	3344	327	3017	1142	2816	1677	3142	1055	2774	16	10	12	4	7	12	2	25	5	26	2	9	9	4	4	4	4	3	0	5	1932	2438	2133	3845	2006	3338	1980	2670	1213	2001	1544	1	1385	3	1217	21	1172	4	947	1
OTU1892	77	190	85	303	38	101	50	308	108	257	23	90	36	115	37	54	23	87	39	74	93	34	94	39	159	92	82	165	173	128	33	326	10	155	61	260	163	331	61	394	0	9	4	0	0	0	1	4	1	5	0	0	0	1	0	0	0	0	0	1	47	110	186	545	127	477	173	229	69	282	2	2	1	0	9	0	2	0	3	0
OTU121	63	91	23	157	5	227	14	63	3	45	39	135	49	355	32	142	72	419	163	361	148	44	423	55	146	98	30	51	112	1074	0	2	0	62	1	2	0	80	0	1	0	0	0	0	0	6	2	2	0	0	2	5	0	6	0	2	4	8	1	6	252	1074	2	8	3	6	4	70	1	5	0	0	0	0	0	1	0	4	0	3
OTU7	3960	6986	3680	4136	812	5691	1768	3325	2032	3437	1227	4326	2677	7528	4091	4844	4382	4629	6116	5336	205	159	909	235	141	422	579	1799	298	7155	732	3224	312	1817	1372	1502	2432	3210	1233	3112	6	14	2	0	4	0	5	3	4	3	4	1	2	3	3	11	0	1	1	1	4420	5788	4412	3984	3378	4652	4403	4650	1752	2941	577	4	525	6	1227	19	557	1	761	4
