OTUID	A1DNA	A1RNA	A2DNA	A2RNA	A3DNA	A3RNA	A4DNA	A4RNA	A5DNA	A5RNA	C1DNA	C1RNA	C2DNA	C2RNA	C3DNA	C3RNA	C4DNA	C4RNA	C5DNA	C5RNA	I1DNA	I1RNA	I2DNA	I2RNA	I3DNA	I3RNA	I4DNA	I4RNA	I5DNA	I5RNA	J1DNA	J1RNA	J2DNA	J2RNA	J3DNA	J3RNA	J4DNA	J4RNA	J5DNA	J5RNA	Post1DNA	Post1RNA	Post2DNA	Post2RNA	Post3DNA	Post3RNA	Post4DNA	Post4RNA	Post5DNA	Post5RNA	Pre1DNA	Pre1RNA	Pre2DNA	Pre2RNA	Pre3DNA	Pre3RNA	Pre4DNA	Pre4RNA	Pre5DNA	Pre5RNA	S1DNA	S1RNA	S2DNA	S2RNA	S3DNA	S3RNA	S4DNA	S4RNA	S5DNA	S5RNA	Wat1DNA	Wat1RNA	Wat2DNA	Wat2RNA	Wat3DNA	Wat3RNA	Wat4DNA	Wat4RNA	Wat5DNA	Wat5RNA
OTU19	1295	2912	1308	2699	458	2331	798	2554	1233	1965	1038	2774	1469	2716	1921	2189	1149	2479	2157	1435	1933	490	1958	736	2680	1576	1429	1357	1523	2471	235	1293	171	1445	335	831	604	1117	430	1396	10	142	14	210	19	137	19	471	6	129	7	11	3	9	6	11	0	4	7	10	2455	2309	2187	2893	1388	3657	2238	2439	835	2341	509	3	612	5	893	8	631	2	493	7
OTU37	445	2179	431	313	73	1458	87	306	53	541	56	911	388	3562	80	403	891	2686	508	2151	112	7	410	13	69	40	223	120	134	2316	274	449	9	140	56	107	31	260	146	700	81	24	326	103	169	21	346	17	330	9	52	252	39	129	46	47	47	79	23	79	308	2429	76	517	53	521	178	187	54	454	104	40	374	47	136	30	156	28	141	35
OTU90	145	536	37	126	6	497	24	88	8	265	42	370	97	1049	125	163	385	1117	473	720	50	35	91	26	59	78	311	47	173	788	49	58	16	69	53	15	23	73	14	32	17	0	26	0	12	71	28	15	15	5	41	298	38	111	54	57	32	67	39	74	282	979	1	46	9	55	10	68	5	58	13	38	12	10	8	23	11	97	13	22
OTU587	11	3	0	2	0	0	1	5	0	3	0	3	1	0	3	0	1	1	4	3	0	0	2	1	3	1	1	6	0	0	0	5	0	7	6	6	10	5	12	8	214	0	280	0	157	9	233	39	200	28	48	351	40	245	31	146	24	216	39	207	5	0	3	0	11	0	5	3	2	1	46	164	36	161	17	176	33	188	29	122
OTU61	246	326	219	494	78	349	116	455	169	401	229	357	176	321	296	222	132	325	260	187	229	88	161	103	245	199	126	255	161	337	62	233	41	317	89	176	108	222	107	323	4	26	11	19	9	9	7	47	2	23	3	6	4	8	7	2	0	8	4	10	282	296	301	787	305	621	231	345	157	416	283	4	205	0	316	6	272	2	163	0
OTU322	1138	1282	469	1464	248	3739	266	1228	536	943	1641	3083	1963	2587	631	1651	1695	2764	2256	2984	361	1030	987	1288	1042	2399	770	9619	955	367	760	5539	417	10008	449	4807	640	2735	3160	2339	1586	240	1467	551	1614	385	1763	1523	1214	778	208	208	210	140	363	93	187	219	249	202	1018	337	419	308	548	297	1031	3437	242	181	7656	18	4892	41	6058	67	5961	43	7890	31
OTU125	43	432	324	177	35	128	53	152	87	172	100	124	55	299	175	280	608	214	316	313	106	26	351	36	134	104	284	61	326	319	30	239	6	51	50	169	94	204	228	105	0	0	0	0	0	0	0	15	0	11	6	2	1	5	4	0	3	0	3	2	114	301	84	268	130	197	96	211	54	43	0	1	0	0	0	1	0	0	0	5
OTU9157	7	4	7	4	0	1	0	0	2	5	1	0	4	1	1	0	6	1	6	7	2	0	4	0	4	1	0	1	4	0	1	7	1	0	5	6	9	9	30	5	0	0	2	0	7	0	0	30	2	25	29	114	27	99	20	28	31	55	19	40	4	0	11	0	8	0	18	5	0	0	3	37	3	37	1	40	3	57	5	16
OTU92	146	175	44	171	21	371	18	147	75	120	134	449	147	337	132	508	99	375	163	283	75	30	88	54	52	82	60	322	67	132	101	146	48	410	21	98	94	147	226	125	8	44	14	91	10	49	7	287	2	182	26	22	14	32	26	19	31	26	31	19	142	132	77	95	62	114	76	120	18	59	3	2	0	3	3	7	2	3	0	3
OTU3338	165	282	81	199	24	424	20	199	21	268	29	174	80	573	82	180	93	230	185	213	52	9	140	10	50	33	37	2	45	456	0	22	0	5	12	9	10	22	15	3	0	0	3	0	2	0	1	0	1	0	2	15	5	13	1	4	4	3	1	3	161	291	29	234	21	123	41	142	16	66	16	1	28	3	43	16	38	3	8	0
OTU3	1641	5478	552	3228	179	6261	257	3946	1084	3129	1144	4879	654	5890	1096	7766	825	2661	2378	3694	894	349	1428	402	1334	1178	1276	6323	2018	7524	1231	8703	269	6083	976	13597	1017	13083	779	4711	164	5	215	2	188	20	283	83	377	26	259	24	244	39	26	12	53	72	49	14	1277	7152	1102	7857	961	10101	1402	4050	414	3325	2176	5	3989	21	1836	12	3018	43	3083	37
OTU265	46	159	21	7	5	97	4	11	0	36	0	6	3	50	4	2	11	45	53	25	1	0	15	0	7	0	3	1	0	332	1	14	0	0	0	32	45	40	0	10	0	0	0	0	0	0	0	4	0	0	1	2	1	0	0	0	0	2	0	0	23	322	12	6	2	3	8	34	5	0	0	2	0	0	0	0	0	0	0	3
OTU49	453	320	234	414	123	650	153	301	199	519	351	427	293	508	344	364	289	499	472	462	341	138	346	223	330	426	298	706	361	462	210	600	77	790	204	410	342	580	175	611	2	0	12	1	8	1	1	8	3	0	3	1	0	2	5	0	0	1	0	0	879	412	315	246	395	191	427	368	215	166	112	0	87	0	108	2	107	0	124	0
OTU34	98	2000	427	233	90	514	95	518	39	1054	38	274	290	890	68	154	264	786	586	923	251	10	52	17	104	19	7	12	414	1729	2	263	1	16	5	100	32	641	47	57	0	0	8	1	0	2	5	5	0	2	5	7	7	5	4	3	5	9	0	1	398	1729	41	233	56	225	93	324	34	44	1	7	0	9	0	3	0	6	1	1
OTU8	300	11513	5401	471	640	1325	580	5034	151	6119	534	4746	2043	5519	1370	2644	4417	1999	847	5793	433	252	2731	256	301	454	1003	326	3225	4313	43	1169	10	458	136	556	138	2672	117	2143	1	4	4	2	3	0	14	8	3	4	28	57	23	68	10	27	19	57	7	40	1219	4834	1349	4844	1313	3740	130	1366	539	876	8	30	14	27	345	32	93	39	40	12
OTU7154	351	211	162	519	97	497	154	457	252	311	258	461	336	338	272	351	137	409	295	226	2864	991	2117	900	3387	1505	999	2319	1610	445	1369	1091	813	2234	719	744	1212	1481	953	1589	4	2	3	1	5	4	1	3	2	0	6	5	1	1	1	2	0	0	0	1	351	347	257	609	260	378	259	329	208	322	3	3	2	0	0	2	7	1	2	4
OTU3427	67	161	33	208	26	262	30	197	63	152	164	260	172	244	147	165	49	188	153	142	444	158	302	193	451	356	150	464	209	188	124	324	107	469	104	249	162	364	248	396	36	21	37	88	33	62	40	157	16	86	23	11	23	11	24	10	20	17	18	13	123	125	89	129	81	163	121	145	67	106	129	5	73	0	101	4	73	0	90	6
OTU822	9	14	10	18	2	37	10	12	8	17	25	29	20	48	19	33	9	23	21	35	3	0	12	1	6	4	9	19	4	11	6	20	1	31	14	22	8	20	37	8	56	0	51	0	78	47	89	57	72	44	17	14	19	17	35	5	17	16	12	11	11	19	15	8	12	12	11	15	5	3	19	5	15	13	19	2	29	5	36	0
OTU8904	38	27	26	59	7	41	12	31	16	26	32	36	22	43	41	33	31	46	51	17	5	0	1	4	0	8	3	29	2	41	32	58	6	45	23	12	17	41	7	30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	31	21	26	28	13	19	33	7	24	3	0	3	0	5	0	2	0	1	0
OTU16	245	1095	201	1055	163	1180	141	991	302	1879	393	953	348	826	161	723	337	964	430	604	4282	1029	2050	1175	5381	2374	2156	1318	2260	524	250	840	180	1256	159	1026	361	992	1195	1111	46	447	51	508	43	376	55	1888	36	382	57	79	23	48	46	36	36	56	31	59	415	432	278	635	469	436	537	953	177	500	266	6	172	24	182	11	159	32	157	9
OTU2930	66	128	19	176	4	355	7	168	47	97	67	391	64	256	76	312	37	283	91	137	5	14	14	23	9	45	36	335	22	163	41	209	15	394	75	213	86	249	111	254	13	10	2	14	4	2	6	1	11	3	0	1	1	0	1	0	1	0	3	0	46	158	44	103	12	115	75	135	19	70	1198	0	767	0	640	0	656	0	831	0
OTU211	88	1991	497	1412	16	995	20	731	73	660	36	451	455	3027	168	361	109	1477	595	584	150	83	304	101	280	162	310	44	600	662	6	130	0	48	17	101	2	91	109	1281	2	1	28	0	6	1	3	12	20	10	61	356	41	178	65	136	51	257	53	184	180	607	8	218	33	687	24	1637	0	606	0	71	7	142	6	56	3	85	9	84
OTU1642	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	3	15	17	47	19	14	7	14	45	21	16	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	7	2	5	1	0
OTU124	16	11	6	5	4	4	5	12	25	6	8	2	2	3	13	3	29	9	25	4	3	3	17	0	23	9	21	7	31	0	11	12	5	7	30	31	43	18	153	9	321	0	655	1	361	6	748	54	638	38	245	329	224	255	157	85	181	150	157	152	14	0	37	1	21	1	96	15	17	0	131	57	192	65	145	56	182	63	202	51
OTU813	13	0	6	0	0	0	1	1	6	0	0	0	0	0	0	0	3	0	0	4	0	0	2	0	0	0	0	0	2	0	2	1	0	1	0	9	9	13	15	1	46	0	73	0	54	0	38	11	80	0	49	31	52	47	69	11	91	55	69	28	1	0	1	0	0	0	8	2	2	0	9	6	15	8	9	2	20	9	32	14
OTU461	21	36	30	19	10	5	14	25	2	31	4	21	20	29	16	17	9	17	37	18	14	15	59	23	4	19	43	17	43	32	1	33	3	35	11	34	36	30	21	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33	42	32	14	44	12	24	32	13	5	0	0	0	0	0	0	0	0	0	0
OTU1823	23	26	7	62	6	47	14	46	20	41	24	28	25	37	30	26	18	43	35	33	3	3	13	8	2	7	3	17	4	40	2	18	0	19	5	5	2	12	13	35	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	1	1	0	0	40	25	34	33	41	45	31	27	32	10	147	0	85	1	152	0	115	0	72	0
OTU45	587	1874	799	1339	105	1987	105	699	145	1379	157	1809	703	4114	799	1605	1193	3068	2094	4540	655	224	670	235	897	467	2457	146	663	4090	26	406	4	202	1	113	70	592	44	175	61	0	39	1	48	12	93	33	83	23	52	304	88	170	38	124	43	191	36	155	852	3696	201	635	219	623	745	3299	100	402	12	64	30	85	121	58	27	85	34	49
OTU412	131	0	0	0	1	10	0	0	0	0	0	8	0	27	13	12	36	82	22	657	0	0	0	0	0	0	0	0	3	27	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	42	55	42	134	14	39	14	77	4	60	4	36	0	10	0	0	0	0	2	0	0	23	0	19	0	15	0	58	0	26
OTU733	38	14	10	5	6	23	4	9	0	5	7	14	4	54	9	6	18	11	8	18	0	0	0	0	2	4	0	3	0	10	0	3	0	5	28	4	4	10	3	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	1	1	0	7	9	11	5	11	0	0	1	0	0	0	0	0	0	0
OTU222	228	118	105	98	24	126	58	75	35	64	108	98	131	132	170	83	201	124	167	171	91	24	357	40	62	71	60	43	109	96	28	64	3	65	13	42	37	55	20	57	3	0	3	0	3	0	9	5	5	1	0	2	1	2	0	0	0	2	0	3	275	75	71	45	64	23	107	100	49	11	15	2	19	0	25	0	16	0	19	0
OTU156	49	189	38	202	14	220	14	191	71	280	32	118	61	178	25	112	30	126	43	114	40	16	46	27	30	53	37	137	71	119	22	171	8	144	45	221	58	171	151	170	226	96	213	76	89	67	175	313	113	144	37	65	31	48	39	38	56	49	39	54	62	59	109	118	125	78	94	231	61	83	182	9	194	10	109	7	138	4	155	3
OTU136	49	294	202	222	34	138	62	176	85	311	62	146	80	272	181	283	512	182	299	229	69	50	390	47	95	140	437	78	302	300	18	270	3	72	99	163	74	179	314	135	1	0	0	0	0	0	0	18	0	2	5	2	1	1	7	0	2	0	5	0	57	290	44	216	85	218	92	247	29	80	0	0	0	1	0	0	0	2	0	0
OTU25	318	584	149	991	112	1192	163	773	278	736	269	859	260	912	269	747	153	709	352	575	35	163	157	220	122	407	95	1639	125	625	240	1644	106	1867	197	1877	325	1313	685	1085	53	1	78	19	56	6	44	80	57	62	14	10	23	5	15	5	12	10	22	18	237	523	249	621	261	439	376	1291	150	417	3167	4	2417	0	2073	4	2295	5	2060	4
OTU2578	42	217	98	250	37	229	94	229	91	229	112	190	142	114	142	68	84	174	163	239	43	166	132	212	99	351	37	613	84	28	91	1412	48	684	115	1189	189	577	630	609	0	2291	1	3634	2	3820	2	4952	28	5313	0	3	2	3	0	1	0	0	1	1	124	23	120	37	88	27	199	1174	44	19	3	10	19	5	8	7	9	0	21	16
OTU180	150	68	69	146	45	193	68	91	97	148	143	200	122	143	137	183	72	133	179	134	13	10	18	17	7	53	35	253	24	117	161	155	77	264	77	152	166	224	54	223	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	140	130	132	55	105	61	170	133	93	29	272	0	231	0	278	0	323	0	253	0
OTU100	444	222	425	131	48	127	193	108	163	74	413	109	192	171	479	79	448	159	1465	156	316	123	796	159	570	417	575	81	964	189	33	268	27	85	23	52	235	244	103	153	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	178	159	154	74	165	91	149	147	73	102	0	1	0	0	0	1	0	0	0	3
OTU341	397	350	246	345	95	589	126	336	163	273	286	422	367	512	417	367	238	467	466	399	159	87	191	83	97	217	206	228	171	433	70	225	52	258	91	183	136	253	121	244	0	1	4	0	0	0	0	11	0	4	0	1	0	4	0	0	0	0	0	1	788	333	458	358	341	303	428	380	188	204	20	0	27	0	23	0	27	0	23	1
OTU9143	44	11	12	4	7	18	11	23	1	16	6	10	33	25	12	14	40	28	32	29	1	0	0	1	0	1	0	2	0	16	1	10	2	2	0	0	15	11	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	12	6	4	0	6	3	25	3	1	0	0	0	0	0	0	0	0	0	0
OTU2203	227	315	296	481	107	231	269	441	192	353	222	505	992	549	467	286	338	384	594	329	17	18	48	28	28	41	62	366	28	265	58	316	52	335	122	186	166	198	77	183	15	15	8	26	17	7	22	28	5	38	3	4	1	3	2	2	4	9	3	6	745	227	519	390	337	426	385	391	142	250	254	1	209	0	348	0	205	1	156	0
OTU1362	269	464	135	1057	69	734	74	1106	313	535	824	1357	878	1356	526	1082	325	759	448	650	939	483	800	565	863	973	435	3857	536	968	1154	2701	854	3938	1101	1752	1263	3040	1912	2751	15	11	5	5	6	90	4	21	2	31	9	2	9	6	4	2	7	3	13	4	420	855	643	1277	370	1146	382	755	259	696	5	0	2	9	3	2	4	7	3	2
OTU1227	13	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	14	0	12	0	4	0	3	35	4	19	6	21	4	27	4	27	0	0	0	4	0	0	0	0	0	0	0	67	3	52	1	22	4	38	0	29
OTU319	86	91	6	69	11	136	3	86	15	49	14	113	10	77	24	169	32	77	37	99	28	5	27	10	14	35	54	157	85	111	16	124	15	173	23	217	15	193	27	88	15	32	16	32	7	20	22	38	7	22	5	7	7	1	7	3	5	27	30	4	48	121	12	110	43	104	22	83	7	80	5	0	14	7	5	2	4	2	16	1
OTU106	137	555	550	412	78	278	109	588	136	395	163	265	209	311	192	251	313	294	227	315	18	13	35	12	16	26	22	172	37	226	3	150	6	128	20	249	41	173	98	107	5	103	8	230	12	130	24	3593	5	84	5	38	4	25	4	28	11	241	4	75	268	201	187	419	101	311	199	317	107	235	116	1	84	2	185	15	77	0	40	3
OTU44	78	118	31	227	9	435	21	143	36	169	118	470	117	289	143	337	103	373	247	292	54	35	73	35	38	57	37	649	25	76	140	311	101	764	112	301	123	247	277	265	7	25	2	28	9	37	15	119	12	96	11	20	14	18	17	8	17	23	13	9	110	68	41	78	17	174	81	88	57	41	2893	7	1708	3	2833	5	1641	6	1591	2
OTU786	6	2	3	3	3	3	0	2	4	1	0	4	0	0	1	1	3	0	3	6	0	0	0	0	0	0	3	5	11	1	9	2	2	8	0	10	8	8	25	2	215	1	235	13	84	2	212	116	210	109	72	168	133	130	86	36	88	68	102	40	10	1	6	0	4	0	2	6	4	0	24	43	40	107	20	67	26	98	25	78
OTU114	8	3	0	8	0	9	0	1	0	6	1	0	0	2	5	2	0	4	3	5	0	0	2	1	0	7	0	4	0	2	1	4	0	1	0	4	9	9	6	4	150	14	723	0	139	60	186	89	228	111	163	260	164	214	120	87	215	157	142	109	13	0	12	0	20	0	3	2	1	0	186	105	253	399	139	233	126	136	269	304
OTU4961	5	27	29	20	11	37	30	14	5	16	8	19	12	35	20	26	64	10	37	50	4	0	5	1	3	6	1	1	9	28	0	19	0	3	13	8	10	11	73	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	21	28	24	26	26	16	24	29	24	36	0	0	0	0	0	0	0	0	0	0
OTU5259	27	41	8	40	3	31	13	40	11	55	9	35	26	33	21	24	6	38	13	36	11	4	30	6	36	27	12	59	38	28	8	72	6	64	1	38	22	58	40	50	136	33	65	11	48	37	89	110	74	116	17	31	19	33	23	17	19	29	14	17	11	30	19	21	8	25	29	32	21	11	40	0	48	4	30	4	51	4	55	5
OTU15	133	3639	404	2823	16	2436	112	1955	128	1979	181	1419	219	2997	355	2307	828	2386	768	2184	477	122	948	133	443	424	865	281	692	1722	17	687	2	318	39	632	42	904	106	809	23	13	27	3	30	12	39	7	22	8	14	83	4	58	23	33	21	63	23	51	82	2335	72	1391	135	1320	90	2134	47	426	13	22	17	24	25	46	15	22	20	40
